filename,region,region_size,fill,offset,size,load_type,crc32,sha1,sha256,description
epr-18385.12,maincpu,0x00200000,0x00,0x00000000,0x00020000,load32_word,78ed2d41,471c19389ceeec6138107dd81863320bd4825327,388bb5cd0304e6a9656b3ac12aa1a3e8c824edd96686479131ec341149ae4cb0,"i960 program, low word bank 0"
epr-18386.13,maincpu,0x00200000,0x00,0x00000002,0x00020000,load32_word,3418f428,0f51e389e13efc172a26471331a60c459ad43c38,07bede90efaf3374c37bb95e6914ae47e3ca7a95e6f65385453b3940564bff3b,"i960 program, high word bank 0"
epr-18387.14,maincpu,0x00200000,0x00,0x00040000,0x00020000,load32_word,124a8453,26fb787451824fc6060724e37fe0ba6bb66796cb,3eb7acd0ecc0dfdbc92d48642ac1aecd70da41c3a59bb654c7c99f2c369bc4a3,"i960 program, low word bank 1"
epr-18388.15,maincpu,0x00200000,0x00,0x00040002,0x00020000,load32_word,8d347980,da79e51ad501b9560c4ed7cf1ec768daad93efe0,e2ee070a472ae7c8adc41740e5b2448b38b15373d09ca1bf497944061a663578,"i960 program, high word bank 1"
mpr-17560.10,main_data,0x02400000,0x00,0x00000000,0x00200000,load32_word,d1389864,88e9a8b6b0f58c96957015179e7ff10f837040e6,87bd435d0200e6384c0a7f34e2887f8983a71066892aef2621fdd331dad99635,main data pair 0 low
mpr-17561.11,main_data,0x02400000,0x00,0x00000002,0x00200000,load32_word,b98d0101,e154877380b9250d8119dd4c14ba306c7b337dcd,b5c7a8b9d8316ccc6d056b30b90496bc35ace76d39710d55a585fae119bc86cb,main data pair 0 high
mpr-17558.8,main_data,0x02400000,0x00,0x00400000,0x00200000,load32_word,4b15f5a6,9a34724958fef9b49eae39c6ea136e0cf532154b,d9fa45da7b263349a75f23a2764025adccf1700c157c0f23d3517d14eaf6b12e,main data pair 1 low
mpr-17559.9,main_data,0x02400000,0x00,0x00400002,0x00200000,load32_word,d3264de6,2f094ff0b95bf1cd5c283414634ea9597204d374,5ffd54b5c41be0e755b6da58492a4e14dd7c9e3938166398ef3a84711acb776c,main data pair 1 high
mpr-17566.6,main_data,0x02400000,0x00,0x00800000,0x00200000,load32_word,fb41ef98,ad4d1ba5e5b39b2d87105ae80750284867aa4ed3,300ec4484eda1e11d142d5c80a4e6b00c46fa79668d27281e53d0141c735ce30,main data pair 2 low
mpr-17567.7,main_data,0x02400000,0x00,0x00800002,0x00200000,load32_word,c3396922,7e0700ded530e4eb58e9a68cdb92791284c91431,e07931d29fe0083fce5829c334d0371a67abab3e4854347c30586cedaa36f998,main data pair 2 high
