state0,state1,cd0_m0,cd0_m1,cd1_m0,cd1_m1,vector_class,recovered_exact,class_has_recovered_representative
0x100,0x100,210,215,186,191,4,yes,yes
0x100,0x102,221,226,197,202,7,yes,yes
0x100,0x104,210,215,186,191,4,yes,yes
0x100,0x106,221,226,197,202,7,no,yes
0x100,0x110,197,202,194,199,1,yes,yes
0x100,0x112,208,213,205,210,3,no,yes
0x100,0x114,197,202,194,199,1,yes,yes
0x100,0x116,208,213,205,210,3,no,yes
0x102,0x100,221,226,197,202,7,yes,yes
0x102,0x102,232,237,208,213,9,yes,yes
0x102,0x104,221,226,197,202,7,yes,yes
0x102,0x106,232,237,208,213,9,yes,yes
0x102,0x110,208,213,205,210,3,yes,yes
0x102,0x112,219,224,216,221,6,yes,yes
0x102,0x114,208,213,205,210,3,no,yes
0x102,0x116,219,224,216,221,6,no,yes
0x104,0x100,210,215,186,191,4,yes,yes
0x104,0x102,221,226,197,202,7,yes,yes
0x104,0x104,210,215,186,191,4,yes,yes
0x104,0x106,221,226,197,202,7,no,yes
0x104,0x110,197,202,194,199,1,yes,yes
0x104,0x112,208,213,205,210,3,no,yes
0x104,0x114,197,202,194,199,1,yes,yes
0x104,0x116,208,213,205,210,3,no,yes
0x106,0x100,221,226,197,202,7,no,yes
0x106,0x102,232,237,208,213,9,yes,yes
0x106,0x104,221,226,197,202,7,no,yes
0x106,0x106,232,237,208,213,9,yes,yes
0x106,0x110,208,213,205,210,3,no,yes
0x106,0x112,219,224,216,221,6,no,yes
0x106,0x114,208,213,205,210,3,no,yes
0x106,0x116,219,224,216,221,6,yes,yes
0x110,0x100,197,202,194,199,1,yes,yes
0x110,0x102,208,213,205,210,3,yes,yes
0x110,0x104,197,202,194,199,1,yes,yes
0x110,0x106,208,213,205,210,3,no,yes
0x110,0x110,202,207,202,207,2,yes,yes
0x110,0x112,213,218,213,218,5,yes,yes
0x110,0x114,202,207,202,207,2,yes,yes
0x110,0x116,213,218,213,218,5,no,yes
0x112,0x100,208,213,205,210,3,no,yes
0x112,0x102,219,224,216,221,6,yes,yes
0x112,0x104,208,213,205,210,3,no,yes
0x112,0x106,219,224,216,221,6,no,yes
0x112,0x110,213,218,213,218,5,yes,yes
0x112,0x112,224,229,224,229,8,yes,yes
0x112,0x114,213,218,213,218,5,yes,yes
0x112,0x116,224,229,224,229,8,yes,yes
0x114,0x100,197,202,194,199,1,yes,yes
0x114,0x102,208,213,205,210,3,no,yes
0x114,0x104,197,202,194,199,1,yes,yes
0x114,0x106,208,213,205,210,3,no,yes
0x114,0x110,202,207,202,207,2,yes,yes
0x114,0x112,213,218,213,218,5,yes,yes
0x114,0x114,202,207,202,207,2,yes,yes
0x114,0x116,213,218,213,218,5,yes,yes
0x116,0x100,208,213,205,210,3,no,yes
0x116,0x102,219,224,216,221,6,no,yes
0x116,0x104,208,213,205,210,3,no,yes
0x116,0x106,219,224,216,221,6,yes,yes
0x116,0x110,213,218,213,218,5,no,yes
0x116,0x112,224,229,224,229,8,yes,yes
0x116,0x114,213,218,213,218,5,yes,yes
0x116,0x116,224,229,224,229,8,yes,yes
