descriptor,name,flags,instance,stack_size,entry_point,state_address,scheduler_slot
0x00011dc0,"fa_key_play",0x00000000,0,0x80,0x00039d0c,0x00500858,0
0x00011e00,"fa_play",0x00000000,0,0x100,0x0003a824,0x00500860,0
0x00011e40,"fa_win0",0x00000000,0,0x100,0x0003aed0,0x00500884,0
0x00011e80,"fa_win1",0x00000000,0,0x100,0x0003af9c,0x00500888,0
0x00011ec0,"fa_enemy0",0x00000000,0,0x280,0x0003d06c,0x00500844,0
0x00011f00,"fa_enemy1",0x00000000,0,0x280,0x0003d0e4,0x00500848,0
0x00011f40,"fa_control0",0x00000000,0,0x80,0x0001b9ac,0x0050081c,0
0x00011f80,"fa_record",0x00000000,0,0x80,0x0003a728,0x0050085c,0
0x00011fc0,"fa_rob0",0x00000000,0,0x2000,0x00013f08,0x00500804,0
0x00012000,"fa_rob1",0x00000000,1,0x2000,0x00013f08,0x00500808,0
0x00012040,"fa_coli",0x00000000,0,0x400,0x000221cc,0x00500828,0
0x00012080,"fa_key_record",0x00000000,0,0x80,0x00039c40,0x00500854,0
0x000120c0,"fa_sampling",0x00000000,0,0x400,0x00051d3c,0x00500850,0
0x00012100,"fa_game_info",0x80000000,0,0x80,0x0001645c,0x00500824,0
0x00012140,"fa_object0",0x00000000,0,0x80,0x0006ca64,0x00500878,0
0x00012180,"fa_object1",0x00000000,1,0x80,0x0006ca64,0x0050087c,0
0x000121c0,"fa_object2",0x00000000,2,0x80,0x0006ca64,0x00500880,0
0x00012200,"fa_camera",0x80000000,0,0x480,0x0001d320,0x00500814,0
0x00012240,"fa_user",0x80000000,0,0x280,0x00029748,0x00500830,0
0x00012280,"fa_game_disp",0x00000000,0,0x80,0x0002b1bc,0x00500834,0
0x000122c0,"fa_sel_disp",0x00000000,0,0x80,0x00031810,0x00500838,0
0x00012300,"fa_selector0",0x00000000,0,0x80,0x00032090,0x0050083c,0
0x00012340,"fa_selector1",0x00000000,1,0x80,0x00032090,0x00500840,0
0x00012380,"fa_effect",0x00000000,0,0x80,0x0002eaa0,0x0050084c,0
0x000123c0,"fa_sound",0x80000000,0,0x100,0x000439fc,0x00500864,0
0x00012400,"fa_kill_osage",0x80000000,0,0x80,0x000657dc,0x00500870,0
0x00012440,"fa_osage0",0x80000000,0,0x280,0x000640f4,0x00500868,0
0x00012480,"fa_osage1",0x80000000,1,0x280,0x000640f4,0x0050086c,0
0x000124c0,"fa_pol_test",0x00000000,0,0x80,0x00021a00,0x00500874,0
